Feature,Importance
cat__Order Country_Bulgaria,1.1548804698250571e-05
cat__Order Country_Venezuela,1.1318281614111693e-05
cat__Order Country_Irlanda,1.1150941642987004e-05
cat__Order Country_Mauritania,1.1088533080053471e-05
cat__Order Country_Suecia,1.1034612072551874e-05
cat__Order Region_East of USA,1.0945438735064119e-05
cat__Order Country_Hong Kong,1.0891878154294266e-05
cat__Order Region_Eastern Asia,1.0819953487603398e-05
cat__Order Country_Indonesia,1.0690968271875652e-05
cat__Market_USCA,1.0544071540717423e-05
cat__Order Country_Rumania,1.0306130349151727e-05
cat__Order Country_Rusia,1.0129244923206869e-05
cat__Order Country_Arabia Saudí,1.004731632754891e-05
cat__Customer Country_Puerto Rico,9.862611834184363e-06
cat__Order Country_Turquía,9.803691034192416e-06
cat__Order Country_Estados Unidos,9.634138366188373e-06
cat__Department Name_Fan Shop,9.610040139393143e-06
cat__Category Name_Hunting & Shooting,9.608624594154468e-06
cat__Order Region_West Africa,9.346563964717772e-06
cat__Order Country_Israel,9.2977601873673e-06
cat__Order Country_Austria,9.276197168374818e-06
cat__Order Country_Senegal,9.196302425683639e-06
num__Order Year,9.141220286819418e-06
cat__Order Country_Ghana,8.97846840360654e-06
cat__Order Region_Caribbean,8.761167340502374e-06
cat__Order Country_Nigeria,8.587279742737927e-06
cat__Order Country_República Democrática del Congo,8.498218745409489e-06
cat__Order Region_Central Africa,8.276968704687649e-06
cat__Order Country_Corea del Sur,7.89771313094616e-06
cat__Category Name_Boxing & MMA,7.713253668252843e-06
cat__Order Country_Costa de Marfil,7.672870937545108e-06
cat__Order Country_Japón,7.352925290190665e-06
cat__Order Country_Pakistán,7.325463694999076e-06
cat__Order Country_Hungría,7.099397909327357e-06
cat__Category Name_Indoor/Outdoor Games,6.990780082262606e-06
cat__Order Country_Nueva Zelanda,6.954814804793239e-06
cat__Order Country_Dinamarca,6.857224710814597e-06
cat__Order Country_Tanzania,6.833377530419107e-06
cat__Order Country_Portugal,6.810932504263584e-06
cat__Order Country_Ucrania,6.722406589297934e-06
cat__Order Country_Sierra Leona,6.612975892553808e-06
cat__Order Country_Níger,6.581860113163991e-06
cat__Category Name_Golf Shoes,6.334556333238603e-06
cat__Order Country_Qatar,6.222068375208218e-06
cat__Order Country_Bielorrusia,6.135903668079229e-06
cat__Order Country_Perú,6.101451777407746e-06
cat__Order Country_Myanmar (Birmania),6.010172503331211e-06
cat__Customer Country_EE. UU.,5.913631646992175e-06
cat__Category Name_Lacrosse,5.871912936361271e-06
cat__Order Country_Costa Rica,5.777414579223086e-06
cat__Category Name_As Seen on  TV!,5.6914620410869e-06
cat__Order Country_Ruanda,5.491708699167302e-06
cat__Order Country_Bangladés,5.305488251297048e-06
cat__Order Region_Southern Africa,5.250397138931095e-06
cat__Category Name_Golf Apparel,5.230545581806609e-06
cat__Order Country_Túnez,5.203335246579278e-06
cat__Order Country_Camerún,5.1997973175107194e-06
cat__Order Country_Mozambique,4.7766321284542526e-06
cat__Order Country_Camboya,4.7419198743297205e-06
cat__Order Country_Canada,4.671698505978258e-06
cat__Order Country_Angola,4.595127007305271e-06
cat__Order Region_Central Asia,4.546398864063423e-06
cat__Order Country_Guadalupe,4.1155210284841245e-06
cat__Order Country_Grecia,4.111553646966359e-06
cat__Order Country_Ecuador,4.063090049785958e-06
cat__Order Country_Estonia,3.9378429277987285e-06
cat__Order Country_Azerbaiyán,3.836498815331348e-06
cat__Order Country_Siria,3.770235759178941e-06
cat__Order Region_Canada,3.5931912297081115e-06
cat__Order Country_Sri Lanka,3.5789554681906233e-06
cat__Order Country_SudAfrica,3.4572367318948544e-06
cat__Order Country_Kenia,3.3474779860609158e-06
cat__Order Country_Uganda,3.306301292083694e-06
cat__Order Country_Uruguay,3.216697967336225e-06
cat__Category Name_Men's Golf Clubs,3.0951421646750085e-06
cat__Order Country_Singapur,3.0057913374765216e-06
cat__Order Country_Sudán,2.882903745943203e-06
cat__Order Country_Trinidad y Tobago,2.8618314085275345e-06
cat__Category Name_Baseball & Softball,2.7841213114512336e-06
cat__Order Country_Armenia,2.7448190334666185e-06
cat__Category Name_Tennis & Racquet,2.610838761734619e-06
cat__Category Name_Kids' Golf Clubs,2.546045923421003e-06
cat__Department Name_Fitness,2.519302416196186e-06
cat__Order Country_Zimbabue,2.3981149578111233e-06
cat__Order Country_República Checa,2.2825012856001356e-06
cat__Order Country_Mongolia,2.208631523349948e-06
cat__Order Country_Lituania,2.2081939259917415e-06
cat__Order Country_Papúa Nueva Guinea,2.0809679207360455e-06
cat__Order Country_Guyana,2.0569683424265536e-06
cat__Order Country_Omán,2.0209226748589205e-06
cat__Order Country_Benín,1.9779901461202744e-06
cat__Order Country_Uzbekistán,1.6736361769748128e-06
cat__Order Country_Liberia,1.5934642350819856e-06
cat__Order Country_Paraguay,1.5870088888144165e-06
cat__Order Country_Barbados,1.5460022540725041e-06
cat__Order Country_Jamaica,1.501687644493976e-06
cat__Order Country_Georgia,1.264036348807833e-06
cat__Order Country_Kazajistán,1.242200320929279e-06
cat__Order Country_Jordania,1.1815342084414448e-06
cat__Order Country_Yibuti,1.1608468016650174e-06
cat__Order Country_Mali,1.1332157123268093e-06
cat__Order Country_Somalia,1.1102843515027575e-06
cat__Order Country_Madagascar,1.0716082076871858e-06
cat__Order Country_Eslovenia,7.460024176279986e-07
cat__Order Country_Lesoto,6.949756673907514e-07
cat__Category Name_Soccer,6.231330259946083e-07
cat__Order Country_Libia,6.150780158223707e-07
cat__Order Country_Namibia,6.016772948500532e-07
cat__Order Country_Eslovaquia,5.826133855429143e-07
cat__Order Country_Albania,5.603345923802494e-07
cat__Order Country_Togo,5.424234888735071e-07
cat__Order Country_Yemen,5.331500738532112e-07
cat__Order Country_Croacia,4.850869428197876e-07
cat__Order Country_Gabón,4.842359465161933e-07
cat__Order Country_Afganistán,4.625203276757623e-07
cat__Order Country_Kirguistán,4.219655352931839e-07
cat__Category Name_Toys,0.0
cat__Order Country_Guinea Ecuatorial,0.0
cat__Category Name_Sporting Goods,0.0
cat__Order Country_Guayana Francesa,0.0
cat__Category Name_Strength Training,0.0
cat__Category Name_Water Sports,0.0
cat__Category Name_Video Games,0.0
cat__Department Name_Pet Shop,0.0
cat__Department Name_Technology,0.0
cat__Order Country_Emiratos Árabes Unidos,0.0
cat__Order Country_Chad,0.0
cat__Department Name_Book Shop,0.0
cat__Department Name_Discs Shop,0.0
cat__Order Country_Bután,0.0
cat__Order Country_Burundi,0.0
cat__Order Country_Burkina Faso,0.0
cat__Order Country_Botsuana,0.0
cat__Order Country_Belice,0.0
num__Product Status,0.0
cat__Order Country_Baréin,0.0
cat__Order Country_Eritrea,0.0
cat__Order Country_Chipre,0.0
cat__Department Name_Health and Beauty ,0.0
cat__Order Country_Guinea-Bissau,0.0
cat__Category Name_Women's Clothing,0.0
cat__Order Country_Líbano,0.0
cat__Order Country_Luxemburgo,0.0
cat__Order Country_Laos,0.0
cat__Order Country_Kuwait,0.0
cat__Order Country_Suazilandia,0.0
cat__Order Country_Serbia,0.0
cat__Order Country_República de Gambia,0.0
cat__Order Country_República del Congo,0.0
cat__Order Country_Nepal,0.0
cat__Order Country_República Centroafricana,0.0
cat__Order Country_Macedonia,0.0
cat__Order Country_Montenegro,0.0
cat__Order Country_Sudán del Sur,0.0
cat__Category Name_Men's Clothing,0.0
cat__Category Name_Health and Beauty,0.0
cat__Category Name_Golf Bags & Carts,0.0
cat__Order Country_Sáhara Occidental,0.0
cat__Order Country_Surinam,0.0
cat__Order Country_Tayikistán,0.0
cat__Order Country_Taiwán,0.0
cat__Category Name_Men's Footwear,0.0
cat__Category Name_CDs ,0.0
cat__Category Name_Music,0.0
cat__Category Name_Pet Supplies,0.0
cat__Category Name_Cameras ,0.0
cat__Category Name_Camping & Hiking,0.0
cat__Category Name_Children's Clothing,0.0
cat__Category Name_Computers,0.0
cat__Category Name_Fishing,0.0
cat__Category Name_DVDs,0.0
cat__Category Name_Crafts,0.0
cat__Category Name_Consumer Electronics,0.0
cat__Category Name_Baby ,0.0
cat__Category Name_Garden,0.0
cat__Category Name_Books ,0.0
cat__Category Name_Basketball,0.0
